"DateTime","Avian influenza[en]","Centers for Disease Control and Prevention[en]","Common cold[en]","Fever[en]","Influenza[en]","Main Page[en]","Pandemic[en]","West Nile virus[en]"
"2010-10-06 00:00:00",699,1113,4499,5409,5472,679766,2410,1138
"2010-10-07 00:00:00",651,1047,4124,5036,2574,1432261,2252,1053
"2010-10-08 00:00:00",504,922,3607,4599,2472,908072,2052,852
"2010-10-09 00:00:00",419,678,2842,3674,3148,1202847,1489,571
"2010-10-10 00:00:00",434,630,3377,4082,3783,831445,1710,681
"2010-10-11 00:00:00",599,971,4082,4995,5085,481657,2208,1043
"2010-10-12 00:00:00",605,1146,4345,5339,5666,367547,2631,1147
"2010-10-13 00:00:00",649,1128,4207,5011,5850,1103297,2740,1049
"2010-10-14 00:00:00",612,1110,4041,4845,5557,58,2653,968
"2010-10-15 00:00:00",494,1122,3659,4392,4692,382677,2242,842
"2010-10-16 00:00:00",397,738,2756,3601,3336,590978,1573,598
"2010-10-17 00:00:00",456,790,3247,3773,4101,270081,1871,701
"2010-10-18 00:00:00",617,1124,4338,5205,5649,934611,2606,946
"2010-10-19 00:00:00",665,1154,4440,5149,5978,222449,2557,931
"2010-10-20 00:00:00",695,1081,3903,4985,5809,621669,2443,944
"2010-10-21 00:00:00",600,1080,3929,4995,5245,671597,2364,862
"2010-10-22 00:00:00",530,983,3378,4119,4244,1096255,2261,785
"2010-10-23 00:00:00",450,763,2607,3557,3058,474577,1726,560
"2010-10-24 00:00:00",498,814,2902,3999,3684,365830,2080,621
"2010-10-25 00:00:00",649,1185,3963,4983,5572,65,2929,1000
"2010-10-26 00:00:00",683,1085,4144,5046,5497,1097206,2476,906
"2010-10-27 00:00:00",656,1040,3813,5040,5529,689357,2418,950
"2010-10-28 00:00:00",614,1070,3637,4905,5161,555871,2490,888
"2010-10-29 00:00:00",501,1039,3246,4262,4119,569302,2143,754
"2010-10-30 00:00:00",356,668,2353,3462,2891,765885,1527,529
"2010-10-31 00:00:00",475,696,2647,3760,3359,791730,1906,552
"2010-11-01 00:00:00",580,1113,3731,4978,5314,472674,2618,783
"2010-11-02 00:00:00",682,1174,5177,5324,5587,450782,2586,1034
"2010-11-03 00:00:00",559,1121,4262,7111,5756,649319,2526,1066
"2010-11-04 00:00:00",652,1170,4022,5090,5103,744598,2512,945
"2010-11-05 00:00:00",533,1006,3354,4333,4141,992301,2287,878
"2010-11-06 00:00:00",390,866,2712,3678,3420,1413881,1714,519
"2010-11-07 00:00:00",532,944,3093,4010,4037,795930,1897,658
"2010-11-08 00:00:00",616,1374,4328,5334,5811,488362,2678,1128
"2010-11-09 00:00:00",646,1274,4359,5406,6825,215455,2709,897
"2010-11-10 00:00:00",652,1112,4372,5194,6215,990639,2552,886
"2010-11-11 00:00:00",593,1013,3916,4855,5239,465532,2263,729
"2010-11-12 00:00:00",587,888,3392,4443,4663,814357,2072,691
"2010-11-13 00:00:00",382,796,2594,3674,3339,1120977,1474,471
"2010-11-14 00:00:00",462,893,2719,3778,5098,184307,1780,531
"2010-11-15 00:00:00",594,1174,4028,4808,6641,945929,2495,816
"2010-11-16 00:00:00",739,2154,3838,4896,5517,599155,2778,910
"2010-11-17 00:00:00",794,1694,3902,5043,6201,641959,2558,892
"2010-11-18 00:00:00",1349,1421,3874,4629,5858,647453,2800,892
"2010-11-19 00:00:00",955,1096,3528,4106,4615,1527606,2236,713
"2010-11-20 00:00:00",661,829,2799,3511,3404,550389,1598,466
"2010-11-21 00:00:00",745,876,3227,4157,4257,1108746,1821,535
"2010-11-22 00:00:00",837,1259,4303,5143,5997,40,2442,926
"2010-11-23 00:00:00",682,1202,4349,5108,5912,469122,2450,898
"2010-11-24 00:00:00",684,1137,3840,4632,5340,1147415,2043,734
"2010-11-25 00:00:00",613,781,3540,3982,4564,415788,1773,557
"2010-11-26 00:00:00",524,832,3082,3671,4068,1074055,1558,521
"2010-11-27 00:00:00",455,725,3150,3552,3535,523135,1530,529
"2010-11-28 00:00:00",552,888,3556,3992,4259,1224616,1648,749
"2010-11-29 00:00:00",691,3876,5181,5220,6451,185262,2496,1091
"2010-11-30 00:00:00",407,1626,2463,2963,3318,22,1220,528
"2010-12-01 00:00:00",707,1982,5036,5455,7133,901292,3020,919
"2010-12-02 00:00:00",639,1647,4419,4846,5839,1880287,2572,777
"2010-12-03 00:00:00",577,1405,4136,4378,5014,937597,2174,802
"2010-12-04 00:00:00",440,1123,3248,3949,3565,662344,1668,477
"2010-12-05 00:00:00",511,1249,3806,4512,4624,749320,1913,584
"2010-12-06 00:00:00",593,4419,5024,5705,6439,306375,2805,860
"2010-12-07 00:00:00",671,2936,4938,5921,6224,643776,2881,898
"2010-12-08 00:00:00",748,1933,5211,5927,6550,770388,2688,886
"2010-12-09 00:00:00",679,1807,4917,5886,6474,705948,2797,908
"2010-12-10 00:00:00",579,1362,4265,5620,5725,775955,2439,730
"2010-12-11 00:00:00",402,1100,3454,4411,7028,437976,1807,494
"2010-12-12 00:00:00",551,1018,4027,5059,4968,898958,2011,515
"2010-12-13 00:00:00",658,1331,5233,6334,6957,876678,2749,799
"2010-12-14 00:00:00",806,1236,5482,6361,7044,843761,2693,873
"2010-12-15 00:00:00",673,1127,5024,6270,6979,1428086,2729,911
"2010-12-16 00:00:00",575,1074,4524,5614,6518,417699,2564,706
"2010-12-17 00:00:00",480,901,4105,5195,5265,1198553,2066,459
"2010-12-18 00:00:00",363,699,3518,4588,4538,1974129,1511,347
"2010-12-19 00:00:00",363,779,3785,5133,5346,291483,1870,326
"2010-12-20 00:00:00",477,928,4930,6149,6494,722773,2060,480
"2010-12-21 00:00:00",455,947,5248,6194,6914,408499,1774,522
"2010-12-22 00:00:00",426,902,5065,5800,6485,740741,1834,466
"2010-12-23 00:00:00",367,769,4343,5024,6165,787608,1598,466
"2010-12-24 00:00:00",388,595,3397,4031,4392,431477,1258,351
"2010-12-25 00:00:00",263,435,2640,3538,3246,679570,979,254
"2010-12-26 00:00:00",391,579,3470,4585,4270,748333,1138,263
"2010-12-27 00:00:00",470,705,4364,5666,5720,1354237,1408,340
"2010-12-28 00:00:00",419,688,4936,5972,6789,1555843,1541,362
"2010-12-29 00:00:00",423,717,5988,6080,7315,678603,2192,393
"2010-12-30 00:00:00",450,763,4781,5671,7079,671490,1562,386
"2010-12-31 00:00:00",421,509,3722,4841,5371,1446445,1340,325
"2011-01-01 00:00:00",316,441,3164,4304,4675,688184,1219,268
"2011-01-02 00:00:00",385,644,4308,5489,5391,1810943,1639,367
"2011-01-03 00:00:00",539,762,5038,6507,7362,613582,1903,573
"2011-01-04 00:00:00",693,841,5432,6929,8384,870875,2100,588
"2011-01-05 00:00:00",789,920,5920,7214,8989,873250,2427,701
"2011-01-06 00:00:00",880,975,5460,6815,9158,480290,2658,727
"2011-01-07 00:00:00",643,915,4854,6123,7357,764165,2207,646
"2011-01-08 00:00:00",461,690,3869,5212,5493,476075,1624,364
"2011-01-09 00:00:00",572,722,4129,5405,5862,849626,1688,437
"2011-01-10 00:00:00",688,893,5233,6663,7808,347289,2261,618
"2011-01-11 00:00:00",730,1038,4925,6920,8357,354407,2436,685
"2011-01-12 00:00:00",789,1000,4324,6778,8410,648031,2536,710
"2011-01-13 00:00:00",853,1476,4587,6595,8536,497592,2362,651
"2011-01-14 00:00:00",668,863,3955,6052,7495,323984,2090,574
"2011-01-15 00:00:00",523,719,3093,5066,5239,156746,1675,412
"2011-01-16 00:00:00",557,851,3631,5777,5683,637612,1845,370
"2011-01-17 00:00:00",688,920,4119,6547,7748,221153,2165,586
"2011-01-18 00:00:00",705,1094,4235,7193,8096,853743,2320,665
"2011-01-19 00:00:00",788,1161,4317,6914,9163,301245,2485,757
"2011-01-20 00:00:00",683,1265,4201,6769,7655,550127,2469,758
"2011-01-21 00:00:00",553,1060,3603,5991,7130,530591,2104,678
"2011-01-22 00:00:00",502,771,3324,5334,5084,402565,1686,398
"2011-01-23 00:00:00",541,804,3776,6277,5893,339573,2002,501
"2011-01-24 00:00:00",688,1032,4714,7326,8198,45,2353,746
"2011-01-25 00:00:00",752,1117,4224,6953,8318,441028,2115,770
"2011-01-26 00:00:00",699,1108,4329,6659,7985,657396,2125,696
"2011-01-27 00:00:00",789,1048,3821,5956,7033,46,1934,669
"2011-01-28 00:00:00",623,971,3399,5096,6551,649243,1477,533
"2011-01-29 00:00:00",427,678,2883,4399,4607,798534,1247,344
"2011-01-30 00:00:00",594,750,3240,4948,5285,214439,1513,475
"2011-01-31 00:00:00",702,1169,3989,6033,7533,223669,1972,736
"2011-02-01 00:00:00",707,1073,4118,6037,7779,253519,2212,681
"2011-02-02 00:00:00",632,1046,3845,5659,7456,869423,1807,606
"2011-02-03 00:00:00",561,983,3881,5455,7440,177854,1947,653
"2011-02-04 00:00:00",625,873,3372,4950,6469,1033904,1599,535
"2011-02-05 00:00:00",393,728,2918,4403,5406,886834,1184,368
"2011-02-06 00:00:00",465,811,3036,4926,6363,1432385,1410,443
"2011-02-07 00:00:00",614,1073,3837,5828,6556,261372,1745,661
"2011-02-08 00:00:00",608,1136,4101,6107,7326,635212,2022,720
"2011-02-09 00:00:00",633,1187,3688,6121,7823,65,1927,711
"2011-02-10 00:00:00",650,1073,3828,5660,7363,338302,1814,657
"2011-02-11 00:00:00",487,861,3530,5128,6389,686275,1728,592
"2011-02-12 00:00:00",572,691,2910,4691,4491,521677,1224,387
"2011-02-13 00:00:00",592,766,3103,4927,5022,475739,1482,434
"2011-02-14 00:00:00",672,993,3865,5912,5889,516042,1923,662
"2011-02-15 00:00:00",690,1025,4159,5661,7162,52,1998,726
"2011-02-16 00:00:00",663,1085,4663,5744,7415,600500,2078,713
"2011-02-17 00:00:00",597,987,4167,5790,7527,177475,1915,667
"2011-02-18 00:00:00",555,845,3407,5018,6701,43,1679,625
"2011-02-19 00:00:00",509,737,2748,4121,4701,37,1275,390
"2011-02-20 00:00:00",482,861,2996,4839,4896,165499,1586,374
"2011-02-21 00:00:00",645,1128,3749,5840,6688,292711,1743,583
"2011-02-22 00:00:00",624,1047,4043,5761,7477,54,1910,718
"2011-02-23 00:00:00",608,1042,3998,5642,6672,1050391,1947,706
"2011-02-24 00:00:00",608,982,3702,5187,6995,380519,1600,718
"2011-02-25 00:00:00",542,892,3555,4825,5777,423642,1716,542
"2011-02-26 00:00:00",372,738,2716,3993,4221,1106853,1289,400
"2011-02-27 00:00:00",544,782,3039,4447,4745,1699215,1563,490
"2011-02-28 00:00:00",613,1073,3989,5471,6189,193716,2060,768
"2011-03-01 00:00:00",669,930,3949,5393,7339,42,2020,737
"2011-03-02 00:00:00",585,1070,3983,5326,7439,189943,2082,811
"2011-03-03 00:00:00",610,1131,3869,5000,7337,49,1893,737
"2011-03-04 00:00:00",572,1000,3303,4606,5680,34,1887,628
"2011-03-05 00:00:00",388,866,2543,3513,3940,292063,1239,401
"2011-03-06 00:00:00",498,939,2898,3945,5529,325574,1538,528
"2011-03-07 00:00:00",728,1214,3840,5141,6133,191701,2075,837
"2011-03-08 00:00:00",732,1123,3894,5291,7341,171479,1904,833
"2011-03-09 00:00:00",645,1222,3866,4584,7108,235712,1931,735
"2011-03-10 00:00:00",1854,1141,3642,4774,7061,51,2076,786
"2011-03-11 00:00:00",565,939,3107,4225,5543,43,2143,661
"2011-03-12 00:00:00",423,811,2215,3654,3513,298401,1552,354
"2011-03-13 00:00:00",504,838,2600,4104,3813,33,1739,459
"2011-03-14 00:00:00",616,1175,3321,5029,6081,48,2217,704
"2011-03-15 00:00:00",605,1193,3353,4841,5800,655634,2043,766
"2011-03-16 00:00:00",614,1056,3344,4920,5459,490003,1962,663
"2011-03-17 00:00:00",571,962,3145,4547,5494,494476,1980,597
"2011-03-18 00:00:00",457,783,2636,4034,4268,762006,1425,517
"2011-03-19 00:00:00",289,658,2147,3276,2959,965097,1150,350
"2011-03-20 00:00:00",426,663,2431,3873,3481,1456331,1420,441
"2011-03-21 00:00:00",610,963,3240,4534,4943,600620,1834,725
"2011-03-22 00:00:00",506,979,3299,4480,5429,569738,1765,798
"2011-03-23 00:00:00",580,908,3115,4574,5339,604064,1884,815
"2011-03-24 00:00:00",515,1017,3252,4564,5405,392960,1977,800
"2011-03-25 00:00:00",419,836,2875,3845,4176,405834,1523,619
"2011-03-26 00:00:00",309,639,2093,3277,2772,487676,1105,395
"2011-03-27 00:00:00",368,669,2367,3375,3276,786531,1456,417
"2011-03-28 00:00:00",515,950,3365,4590,6167,158519,1945,779
"2011-03-29 00:00:00",520,898,3228,4454,5835,471152,1843,751
"2011-03-30 00:00:00",531,950,3246,4575,5579,57,1828,763
"2011-03-31 00:00:00",498,940,3022,4236,4545,550719,1883,750
"2011-04-01 00:00:00",476,801,2457,3398,4309,34,1503,739
"2011-04-02 00:00:00",306,494,1892,3013,2944,726920,1175,405
"2011-04-03 00:00:00",382,647,2171,3784,3740,512319,1507,528
"2011-04-04 00:00:00",562,905,3031,4628,5319,159149,1975,818
"2011-04-05 00:00:00",474,975,3182,4475,5060,330014,1916,861
"2011-04-06 00:00:00",560,896,3029,4403,4801,169149,1770,763
"2011-04-07 00:00:00",530,880,3036,4206,4595,525340,1953,772
"2011-04-08 00:00:00",412,830,2339,3559,3696,359136,1641,766
"2011-04-09 00:00:00",295,600,1996,2975,2756,853417,1104,422
"2011-04-10 00:00:00",430,698,2207,3417,3205,295959,1572,484
"2011-04-11 00:00:00",554,1040,2924,4480,4438,168488,1784,852
"2011-04-12 00:00:00",523,933,2914,4392,4672,711411,1908,845
"2011-04-13 00:00:00",504,1042,3072,4737,4434,361904,1890,849
"2011-04-14 00:00:00",505,966,3005,4223,3976,1304042,1831,759
"2011-04-15 00:00:00",439,827,2488,3403,3589,1177983,1530,748
"2011-04-16 00:00:00",339,640,1895,2831,2598,809581,1183,546
"2011-04-17 00:00:00",360,736,2094,3060,2734,794553,1402,528
"2011-04-18 00:00:00",427,887,2882,4219,4071,485991,1794,806
"2011-04-19 00:00:00",449,944,2874,4359,4049,413208,1900,896
"2011-04-20 00:00:00",491,889,2683,3970,3513,221830,1756,720
"2011-04-21 00:00:00",511,744,2449,3784,3099,144180,1684,716
"2011-04-22 00:00:00",336,768,1910,3074,2360,176535,1203,530
"2011-04-23 00:00:00",383,649,1753,2922,2197,773110,1122,803
"2011-04-24 00:00:00",316,716,1887,3075,2417,455255,1277,586
"2011-04-25 00:00:00",446,1068,2662,3970,3474,142129,1758,828
"2011-04-26 00:00:00",502,1100,2686,4447,4104,427488,1920,867
"2011-04-27 00:00:00",561,1082,2775,4120,4071,391796,1743,875
"2011-04-28 00:00:00",515,1016,2701,3729,3877,54,1881,761
"2011-04-29 00:00:00",360,758,1980,2924,3134,45,1441,683
"2011-04-30 00:00:00",314,464,1700,2734,2318,1109170,1059,444
"2011-05-01 00:00:00",358,539,2003,3199,2652,612656,1429,606
"2011-05-02 00:00:00",489,692,2593,3795,4151,1022597,1772,889
"2011-05-03 00:00:00",457,869,2700,3946,4098,264546,1931,890
"2011-05-04 00:00:00",499,901,2762,4016,4231,200124,1969,855
"2011-05-05 00:00:00",499,931,2592,3446,3841,697303,1907,950
"2011-05-06 00:00:00",435,721,2257,3318,3243,424520,1542,725
"2011-05-07 00:00:00",307,542,1701,2623,2424,623799,1099,481
"2011-05-08 00:00:00",323,663,1894,3056,2842,858141,1293,555
"2011-05-09 00:00:00",578,937,2903,3463,4344,464989,2317,941
"2011-05-10 00:00:00",537,937,2983,3711,4151,351769,1988,909
"2011-05-11 00:00:00",510,898,2736,3499,4261,547214,1973,843
"2011-05-12 00:00:00",504,890,2518,3832,3731,782649,2176,910
"2011-05-13 00:00:00",402,1350,2133,3060,3107,151700,1588,682
"2011-05-14 00:00:00",254,958,1708,2857,2218,866466,1104,478
"2011-05-15 00:00:00",399,727,2245,3521,2906,759994,1370,537
"2011-05-16 00:00:00",510,1080,2762,3967,4152,205180,1961,914
"2011-05-17 00:00:00",510,989,2897,3611,4138,169904,1864,918
"2011-05-18 00:00:00",482,988,2705,3642,3886,244942,1782,891
"2011-05-19 00:00:00",572,2486,2515,3506,4108,48,1809,845
"2011-05-20 00:00:00",401,3358,2254,3099,2997,152733,1678,716
"2011-05-21 00:00:00",297,1998,1831,2666,2280,798953,1285,495
"2011-05-22 00:00:00",405,900,1922,3052,2864,42,1359,637
"2011-05-23 00:00:00",535,1260,2962,3783,3894,201375,1838,1144
"2011-05-24 00:00:00",524,1164,2817,3704,3630,677391,1928,904
"2011-05-25 00:00:00",535,1139,2750,3695,3916,411658,1907,894
"2011-05-26 00:00:00",449,1031,2557,3448,3820,566383,1899,875
"2011-05-27 00:00:00",372,863,2277,2785,3067,1457161,1538,716
"2011-05-28 00:00:00",300,642,1699,2687,2125,497888,1026,567
"2011-05-29 00:00:00",391,1881,1841,3704,2406,2580360,1614,621
"2011-05-30 00:00:00",418,2121,2398,4245,3492,1069042,1933,827
"2011-05-31 00:00:00",519,2173,2500,4551,3755,63,2257,1036
"2011-06-01 00:00:00",496,2171,2780,4496,3782,635850,2188,1093
"2011-06-02 00:00:00",439,1925,2447,4157,3245,2657778,2111,888
"2011-06-03 00:00:00",477,906,2116,3358,2866,156031,1627,849
"2011-06-04 00:00:00",285,684,1724,2743,2227,443535,1260,586
"2011-06-05 00:00:00",359,741,1920,3018,2529,884484,1504,744
"2011-06-06 00:00:00",503,972,2379,3879,3350,554253,2005,1068
"2011-06-07 00:00:00",457,911,2407,3682,3165,675340,1735,1059
"2011-06-08 00:00:00",451,900,2267,3947,3057,60,1577,980
"2011-06-09 00:00:00",440,893,2118,3355,3059,326792,1590,974
"2011-06-10 00:00:00",358,825,1881,3009,2711,619799,1497,792
"2011-06-11 00:00:00",264,659,1675,2725,1893,813691,1075,590
"2011-06-12 00:00:00",366,693,1805,3036,2230,877490,1229,700
"2011-06-13 00:00:00",385,889,2260,3742,2932,360199,1485,941
"2011-06-14 00:00:00",354,763,1984,3297,2609,535444,1431,804
"2011-06-15 00:00:00",406,909,2221,3872,3207,389108,1620,1017
"2011-06-16 00:00:00",338,833,2103,3586,3056,214227,1522,919
"2011-06-17 00:00:00",311,772,1922,3148,2466,160389,1310,967
"2011-06-18 00:00:00",248,565,1479,2621,1728,177633,1057,733
"2011-06-19 00:00:00",277,592,1795,3431,2368,952668,1725,738
"2011-06-20 00:00:00",440,935,2475,3960,3151,219445,1526,1030
"2011-06-21 00:00:00",381,810,2362,3908,3056,423552,1514,942
"2011-06-22 00:00:00",408,860,2264,3956,2923,357602,1498,1024
"2011-06-23 00:00:00",419,797,2117,3543,2532,395168,1594,1171
"2011-06-24 00:00:00",341,749,1850,3077,2389,165351,1374,1216
"2011-06-25 00:00:00",240,572,1475,2917,1729,271165,890,786
"2011-06-26 00:00:00",289,614,1580,3109,1986,311009,1028,829
"2011-06-27 00:00:00",386,945,2178,3831,2698,582464,1443,1167
"2011-06-28 00:00:00",368,838,2190,3688,2750,235742,1487,1071
"2011-06-29 00:00:00",388,820,2035,3540,2676,293278,1517,1082
"2011-06-30 00:00:00",355,738,1990,3477,2230,149177,1219,1122
"2011-07-01 00:00:00",247,666,1653,2998,2020,48,1066,1035
"2011-07-02 00:00:00",276,549,1600,2906,1538,507274,867,870
"2011-07-03 00:00:00",263,621,1685,3042,1959,37,1462,1099
"2011-07-04 00:00:00",278,657,2033,3596,2448,150699,1252,1463
"2011-07-05 00:00:00",338,930,2141,3767,2666,387559,1273,1447
"2011-07-06 00:00:00",422,903,2258,3507,2552,52,1328,1570
"2011-07-07 00:00:00",301,769,2130,3505,2465,555562,1296,1587
"2011-07-08 00:00:00",292,692,1819,3271,2142,138010,1180,1650
"2011-07-09 00:00:00",265,588,1608,2901,1735,130145,911,1133
"2011-07-10 00:00:00",307,577,2011,3005,1932,269442,1056,1059
"2011-07-11 00:00:00",407,791,2324,3939,2826,53,1340,1437
"2011-07-12 00:00:00",422,767,2297,4002,2708,570396,1464,1382
"2011-07-13 00:00:00",333,701,2044,3593,2355,62,1132,1241
"2011-07-14 00:00:00",432,1002,2207,3444,2560,518848,1328,1218
"2011-07-15 00:00:00",380,869,1759,3131,2111,297234,1135,1266
"2011-07-16 00:00:00",306,723,1486,2705,1771,699026,916,1473
"2011-07-17 00:00:00",270,691,1792,3043,1838,629246,1103,1273
"2011-07-18 00:00:00",402,844,2259,3846,2839,507034,1548,1523
"2011-07-19 00:00:00",386,847,2204,3547,2844,515085,1528,1393
"2011-07-20 00:00:00",3028,862,2107,3811,2830,360578,1381,1437
"2011-07-21 00:00:00",374,850,1944,3691,2654,620617,1323,1749
"2011-07-22 00:00:00",316,799,1836,2958,2300,62,1134,1313
"2011-07-23 00:00:00",230,611,1578,2644,1779,586288,823,1093
"2011-07-24 00:00:00",308,694,1751,2933,2005,269368,1051,1000
"2011-07-25 00:00:00",373,872,2406,3805,2968,337794,1263,1525
"2011-07-26 00:00:00",331,830,2406,3939,2767,146427,1454,1673
"2011-07-27 00:00:00",446,859,2225,3754,2566,331657,1317,1632
"2011-07-28 00:00:00",425,888,2127,3846,2498,406047,1264,2056
"2011-07-29 00:00:00",326,765,1858,3392,2075,47,1192,1525
"2011-07-30 00:00:00",285,607,1575,2816,1792,588220,1021,990
"2011-07-31 00:00:00",355,700,1724,3123,2194,129915,1066,1073
"2011-08-01 00:00:00",449,873,2119,3669,2529,368679,1294,1364
"2011-08-02 00:00:00",359,779,2511,3864,2727,148394,1370,1441
"2011-08-03 00:00:00",445,832,2062,3880,2807,996327,1426,1657
"2011-08-04 00:00:00",402,860,2114,3866,2629,908848,1369,1667
"2011-08-05 00:00:00",299,796,1768,3705,2183,219287,1570,1550
"2011-08-06 00:00:00",225,631,1357,2827,1685,126519,2649,1895
"2011-08-07 00:00:00",348,682,1621,3035,1962,586492,1843,1292
"2011-08-08 00:00:00",430,859,2009,3708,2834,466689,1657,1686
"2011-08-09 00:00:00",352,844,2080,3688,2612,563212,1558,1890
"2011-08-10 00:00:00",359,855,2106,3509,2693,388503,1366,1820
"2011-08-11 00:00:00",396,724,2026,3183,2449,51,1433,1728
"2011-08-12 00:00:00",279,708,1707,3103,2057,908360,1209,1660
"2011-08-13 00:00:00",257,561,1556,2742,1622,703213,972,1531
"2011-08-14 00:00:00",291,578,1690,3036,1937,477650,1424,2497
"2011-08-15 00:00:00",351,808,1911,3130,2421,279572,2389,1724
"2011-08-16 00:00:00",420,797,2173,3428,2666,946802,2114,1568
"2011-08-17 00:00:00",397,939,1992,3258,2587,251666,1780,1462
"2011-08-18 00:00:00",407,891,1874,3014,2319,668637,1669,1709
"2011-08-19 00:00:00",368,844,1888,3054,2213,324453,2032,2626
"2011-08-20 00:00:00",304,697,1598,2927,1823,719492,1234,1382
"2011-08-21 00:00:00",451,674,1684,3176,2569,593188,1223,1207
"2011-08-22 00:00:00",441,905,2157,3397,2655,337441,1234,1411
"2011-08-23 00:00:00",426,917,2144,3390,2817,565845,1258,1507
"2011-08-24 00:00:00",426,853,2163,3400,2746,620633,1314,1725
"2011-08-25 00:00:00",388,853,2031,3468,2614,142317,1347,1732
"2011-08-26 00:00:00",317,835,2262,3048,2102,1003899,1247,1541
"2011-08-27 00:00:00",240,650,1763,3274,1704,779717,1085,1134
"2011-08-28 00:00:00",363,677,1703,2952,1936,570960,1287,1073
"2011-08-29 00:00:00",783,895,2221,3025,2482,473287,1467,1134
"2011-08-30 00:00:00",1112,965,2249,3080,2766,489633,1869,1442
"2011-08-31 00:00:00",679,1062,2340,3037,2650,440063,1899,1311
"2011-09-01 00:00:00",602,987,2449,3241,2761,477397,1606,1462
"2011-09-02 00:00:00",512,856,1948,2973,2251,465141,1525,1627
"2011-09-03 00:00:00",380,627,1761,2546,1804,524413,1225,1165
"2011-09-04 00:00:00",338,648,1844,2849,1858,534502,1268,947
"2011-09-05 00:00:00",515,714,2113,3148,2459,414306,1558,931
"2011-09-06 00:00:00",502,919,2578,3394,2737,168509,1624,1057
"2011-09-07 00:00:00",484,952,2540,3254,2725,566667,1532,1065
"2011-09-08 00:00:00",507,949,2416,3592,2976,283576,1691,1032
"2011-09-09 00:00:00",526,1352,2326,3272,2554,603813,1889,1083
"2011-09-10 00:00:00",503,1527,2348,3005,2387,262656,1706,1120
"2011-09-11 00:00:00",546,1251,2284,2853,2618,515575,1727,918
"2011-09-12 00:00:00",469,1449,2665,3696,3387,737148,2152,1399
"2011-09-13 00:00:00",526,1242,2841,3505,3421,758508,1937,1344
"2011-09-14 00:00:00",536,1278,2909,3523,3420,395948,2086,1431
"2011-09-15 00:00:00",552,1296,2925,3494,3705,757104,2109,1412
"2011-09-16 00:00:00",502,1270,2829,3174,3350,743582,1882,1222
"2011-09-17 00:00:00",382,922,2844,2833,2552,955940,1531,940
"2011-09-18 00:00:00",467,982,2860,3175,2948,620809,1634,856
"2011-09-19 00:00:00",561,1336,3406,3743,3803,571782,2024,1024
"2011-09-20 00:00:00",650,1157,3714,4203,4278,606649,1846,1086
"2011-09-21 00:00:00",650,1112,3397,3968,4006,290369,1751,1317
"2011-09-22 00:00:00",602,1143,3396,3971,4011,453494,1869,1842
"2011-09-23 00:00:00",446,1031,3098,3507,3379,262965,1696,1197
"2011-09-24 00:00:00",390,881,2762,3140,3395,502150,1329,929
"2011-09-25 00:00:00",466,968,2862,3229,3108,401420,1621,867
"2011-09-26 00:00:00",478,1140,3469,3881,3863,169847,1777,1109
"2011-09-27 00:00:00",427,1148,3170,3628,3910,135397,1726,1211
"2011-09-28 00:00:00",463,1308,3148,3996,3916,275186,1762,1227
"2011-09-29 00:00:00",454,1159,3216,4304,4068,484867,1846,1138
"2011-09-30 00:00:00",471,1211,3306,4195,4318,641296,1597,953
"2011-10-01 00:00:00",385,880,2815,3542,2899,1046892,1271,731
"2011-10-02 00:00:00",414,914,3103,3695,3260,389962,1481,693
"2011-10-03 00:00:00",563,1185,4067,4644,5072,53,1981,905
"2011-10-04 00:00:00",519,1257,4125,4607,4891,309211,1912,1074
"2011-10-05 00:00:00",535,1210,4102,4534,5213,224384,1730,1132
"2011-10-06 00:00:00",456,1040,3513,4047,4470,355008,1669,1025
"2011-10-07 00:00:00",453,1157,3472,3829,4286,491024,1653,787
"2011-10-08 00:00:00",271,618,2117,2551,2043,632332,915,391
"2011-10-09 00:00:00",430,1004,2842,3690,3371,446211,1451,574
"2011-10-10 00:00:00",664,1358,3352,4349,4282,47,1935,798
"2011-10-11 00:00:00",599,1536,3861,4451,5001,635046,2115,1019
"2011-10-12 00:00:00",604,1586,3707,4599,5089,221010,2631,952
"2011-10-13 00:00:00",559,1560,3514,4477,4724,296467,2631,895
"2011-10-14 00:00:00",489,1355,3212,4059,4223,682061,2519,779
"2011-10-15 00:00:00",369,995,2422,3136,2788,942846,1794,542
"2011-10-16 00:00:00",388,1495,2632,3350,3017,238760,1696,540
"2011-10-17 00:00:00",633,4707,3724,4693,4844,615346,2235,877
"2011-10-18 00:00:00",612,2335,3993,4649,5112,341212,2229,887
"2011-10-19 00:00:00",559,1864,3774,4471,5180,168641,2097,902
"2011-10-20 00:00:00",532,1746,3771,4210,5554,350982,1807,786
"2011-10-21 00:00:00",452,1650,3123,3581,5348,425801,1648,657
"2011-10-22 00:00:00",378,1268,2307,2905,3326,688377,1362,480
"2011-10-23 00:00:00",402,1433,2614,3476,3946,267969,1485,592
"2011-10-24 00:00:00",593,2077,3627,4204,5621,463965,2075,950
"2011-10-25 00:00:00",606,1787,3743,4310,5784,867069,1992,1048
"2011-10-26 00:00:00",663,1924,3829,4216,6648,111373,2331,1134
"2011-10-27 00:00:00",744,1668,3896,4416,6347,381199,2264,931
"2011-10-28 00:00:00",529,1492,3421,3161,5355,244315,1694,815
"2011-10-29 00:00:00",361,1210,2727,3372,3982,814355,1370,556
"2011-10-30 00:00:00",495,1409,3041,3558,4513,554673,1770,548
